Red,Green,Blue,Label
22.413233270794247,25.272038774233895,4.682639149468418,mentah
21.745084427767356,25.223808630393997,7.268011257035647,mentah
23.6924765478424,26.899299562226393,6.831219512195122,mentah
26.973058161350846,31.30285803627267,7.302464040025016,mentah
24.1088492808005,28.455959974984363,6.963683552220138,mentah
19.912651657285803,23.69986866791745,5.616110068792995,mentah
20.931932457786115,24.50262664165103,5.364515322076298,mentah
22.27677923702314,25.203358348968106,5.060231394621638,mentah
19.95879924953096,22.854465290806754,4.442883051907442,mentah
18.756960600375233,21.01562851782364,4.578492808005003,mentah
23.501038148843026,25.522976860537835,5.848755472170106,mentah
26.124015009380862,28.513696060037525,6.553627267041901,mentah
31.307267041901188,29.381613508442776,5.615096935584741,mentah
21.8721263289556,23.206297686053784,4.202657911194496,mentah
23.12368980612883,24.09057535959975,5.068480300187617,mentah
20.901288305190743,22.783789868667917,4.768667917448405,mentah
23.726841776110067,23.19989368355222,3.932038774233896,mentah
26.143721075672296,26.39694809255785,6.362632895559725,mentah
26.054934333958723,27.548217636022514,4.952182614133833,mentah
21.020587867417134,23.35117573483427,5.121363352095059,mentah
23.821181988742964,26.244602876797998,5.917748592870544,mentah
15.751332082551595,17.582507817385867,3.454302689180738,mentah
23.550519074421512,24.675071919949968,5.362701688555347,mentah
23.578811757348344,25.089218261413382,5.049918699186992,mentah
17.2390243902439,18.93435272045028,3.5069731081926205,mentah
26.71048780487805,28.134140087554723,6.4385741088180115,mentah
17.94161976235147,19.48754221388368,4.0048280175109445,mentah
24.91718574108818,27.304490306441526,6.656860537836147,mentah
23.713789868667916,21.541457160725454,4.445384615384615,mentah
19.830606629143215,20.98375234521576,4.399393370856785,mentah
22.43347717323327,24.985322076297685,5.447235772357724,mentah
22.41963727329581,22.63869918699187,4.252182614133834,mentah
25.288799249530957,27.10326454033771,7.044077548467793,mentah
14.133621013133208,14.896604127579737,3.3586053783614758,mentah
22.9960162601626,23.221350844277673,4.49714196372733,mentah
24.371332082551596,24.996472795497187,6.421907442151345,mentah
16.06777986241401,17.876178861788617,3.7725953721075673,mentah
21.30089430894309,21.859074421513444,5.681188242651658,mentah
29.305347091932457,27.539899937460913,4.647016885553471,mentah
22.81372732958099,24.821038148843027,6.705272045028143,mentah
21.1388492808005,23.482851782363976,6.319987492182614,mentah
24.910550343964978,27.29477173233271,7.003864915572232,mentah
25.609962476547842,25.68908692933083,5.330087554721701,mentah
25.32707317073171,27.462482801751094,6.966635397123202,mentah
19.45149468417761,22.085791119449656,4.356772983114446,mentah
26.335722326454032,27.885834896810508,7.551094434021263,mentah
22.123914946841776,22.665909943714823,4.758624140087555,mentah
26.552338961851156,27.985222013758598,8.138348968105065,mentah
16.589218261413382,18.166016260162603,3.979937460913071,mentah
22.413233270794247,25.272038774233895,4.682639149468418,mentah
25.038755472170106,25.831031894934334,7.863139462163852,mentah
16.851588492808006,17.814465290806755,3.7407004377736084,mentah
16.702889305816136,18.68614133833646,3.9491307066916823,mentah
25.31277673545966,26.86385866166354,7.488974358974359,mentah
23.021651031894933,23.594552845528455,5.2375859912445275,mentah
23.731844903064417,24.11285803627267,5.7401688555347095,mentah
20.364890556597874,22.765934959349593,4.535697310819262,mentah
24.45096310193871,25.311232020012508,4.966747967479675,mentah
19.37223889931207,21.321244527829894,4.810875547217011,mentah
21.64986866791745,22.916923076923077,5.143458411507192,mentah
